task_id,title,description,source_file,mapped_file,logic_score,status,priority,assigned_to,admin_remarks,Module Group
TASK_145,get_records,Auto-migrated task from legacy v1 to v4,routes/medical_record_routes.py,,0.712,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_146,get_security,Auto-migrated task from legacy v1 to v4,services/account_security_service.py,,0.7,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_147,handle_file_errors,Auto-migrated task from legacy v1 to v4,moderator.py,,0.724,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_148,health_metrics_popup,Auto-migrated task from legacy v1 to v4,popups.py,,0.623,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_149,health_tip_popup,Auto-migrated task from legacy v1 to v4,popups.py,,0.682,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_150,home,Auto-migrated task from legacy v1 to v4,engine.py,smartswasthya/console_refactor/console_routes.py,1,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_151,home,Auto-migrated task from legacy v1 to v4,handler.py,smartswasthya/console_refactor/console_routes.py,1,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_152,index,Auto-migrated task from legacy v1 to v4,flow_checker.py,,0.65,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_153,index,Auto-migrated task from legacy v1 to v4,smart_flow_tester.py,,0.65,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_154,index_page,Auto-migrated task from legacy v1 to v4,routes/index_routes.py,,0.682,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_155,insert_patch,Auto-migrated task from legacy v1 to v4,engine.py,smartswasthya/scripts/manual_startup_trigger.py,0.783,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_156,insert_patch_smartly,Auto-migrated task from legacy v1 to v4,engine.py,smartswasthya/tools/patch_reversal_engine.py,0.779,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_157,lab_report_popup,Auto-migrated task from legacy v1 to v4,popups.py,,0.673,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_158,list_all_files,Auto-migrated task from legacy v1 to v4,routes/dev/sync/scan.py,smartswasthya/utils/file_scanner.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_159,list_all_files,Auto-migrated task from legacy v1 to v4,routes/dev/sync_routes.py,smartswasthya/utils/file_scanner.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_160,list_appointments,Auto-migrated task from legacy v1 to v4,services/appointment_service.py,smartswasthya/tools/patch_reversal_engine.py,0.752,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_161,list_files,Auto-migrated task from legacy v1 to v4,routes/dev/editor_routes.py,smartswasthya/utils/file_scanner.py,0.883,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_162,list_orders,Auto-migrated task from legacy v1 to v4,services/diagnostic_order_service.py,,0.7,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_163,list_records,Auto-migrated task from legacy v1 to v4,services/medical_record_service.py,,0.677,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_164,list_tokens,Auto-migrated task from legacy v1 to v4,routes/dev/token_routes.py,smartswasthya/tools/obvious_navigator.py,0.75,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_165,live_tracking_popup,Auto-migrated task from legacy v1 to v4,popups.py,,0.661,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_166,load_file,Auto-migrated task from legacy v1 to v4,routes/dev/editor_routes.py,smartswasthya/handler.py,0.844,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_167,load_safe,Auto-migrated task from legacy v1 to v4,handler.py,smartswasthya/handler.py,1,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_168,load_user,Auto-migrated task from legacy v1 to v4,smartswasthya.py,smartswasthya/handler.py,0.844,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_169,log,Auto-migrated task from legacy v1 to v4,handler.py,smartswasthya/handler.py,1,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_170,log_dummy_outputs,Auto-migrated task from legacy v1 to v4,coder.py,smartswasthya/tools/coder_tools/dummy_checker.py,0.827,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_171,log_otp_failure,Auto-migrated task from legacy v1 to v4,utils/fast2sms_otp_handler.py,smartswasthya/utils/fast2sms_otp_handler.py,1,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_172,log_otp_sent,Auto-migrated task from legacy v1 to v4,utils/fast2sms_otp_handler.py,smartswasthya/utils/fast2sms_otp_handler.py,1,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_173,log_otp_verified,Auto-migrated task from legacy v1 to v4,utils/fast2sms_otp_handler.py,smartswasthya/utils/fast2sms_otp_handler.py,1,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_174,login_page,Auto-migrated task from legacy v1 to v4,routes/login_routes.py,smartswasthya/routes/smartuser.py,0.767,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_175,login_user,Auto-migrated task from legacy v1 to v4,routes/login_routes.py,smartswasthya/utils/auth_guard.py,0.8,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_176,main,Auto-migrated task from legacy v1 to v4,coder.py,smartswasthya/odil/generate_code_trace.py,0.756,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_177,main,Auto-migrated task from legacy v1 to v4,coder.py,smartswasthya/odil/generate_code_trace.py,0.756,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_178,mark_seen,Auto-migrated task from legacy v1 to v4,sections.py,,0.65,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_179,medical_history_popup,Auto-migrated task from legacy v1 to v4,popups.py,,0.623,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_180,merge_file,Auto-migrated task from legacy v1 to v4,engine.py,smartswasthya/records/records.py,0.787,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_181,merge_patch,Auto-migrated task from legacy v1 to v4,routes/dev/editor_routes.py,smartswasthya/tools/patch_reversal_engine.py,0.825,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_182,moderate_project_code,Auto-migrated task from legacy v1 to v4,moderator.py,,0.689,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_183,notifications_popup,Auto-migrated task from legacy v1 to v4,popups.py,,0.689,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_184,optimize_file,Auto-migrated task from legacy v1 to v4,moderator.py,,0.731,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_185,order_service_tracking_popup,Auto-migrated task from legacy v1 to v4,popups.py,,0.604,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_186,patient_profile_page,Auto-migrated task from legacy v1 to v4,routes/patient_profile_routes.py,smartswasthya/routes/profile_routes.py,0.781,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_187,place_order,Auto-migrated task from legacy v1 to v4,services/diagnostic_order_service.py,smartswasthya/blueprints/sync_routes.py,0.767,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_188,profile_popup,Auto-migrated task from legacy v1 to v4,popups.py,,0.708,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_189,propagate_to_other_nodes,Auto-migrated task from legacy v1 to v4,routes/dev/sync/sync.py,,0.65,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_190,recover_file,Auto-migrated task from legacy v1 to v4,moderator.py,smartswasthya/records/records.py,0.767,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_191,register_backends,Auto-migrated task from legacy v1 to v4,importer.py,smartswasthya/routes/user_routes.py,0.767,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_192,register_blueprints,Auto-migrated task from legacy v1 to v4,smartswasthya.py,,0.555,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_193,register_partner_blueprints,Auto-migrated task from legacy v1 to v4,partner.py,,0.726,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_194,register_section_blueprints,Auto-migrated task from legacy v1 to v4,sections.py,,0.72,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_195,register_smartuser_blueprints,Auto-migrated task from legacy v1 to v4,smartuser.py,smartswasthya/logic/auth.py,0.767,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_196,reset_password,Auto-migrated task from legacy v1 to v4,routes/login_routes.py,smartswasthya/logic/auth.py,0.797,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_197,retry_pending_syncs,Auto-migrated task from legacy v1 to v4,routes/dev/sync/retry_handler.py,smartswasthya/console_refactor/console_routes.py,0.783,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_198,run_backend_generation,Auto-migrated task from legacy v1 to v4,importer.py,smartswasthya/tools/trace_runner.py,0.767,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_199,run_command,Auto-migrated task from legacy v1 to v4,coder.py,,0.557,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_200,run_command,Auto-migrated task from legacy v1 to v4,coder.py,,0.557,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_201,run_db_check,Auto-migrated task from legacy v1 to v4,docker_db_checker.py,smartswasthya/tools/checker_tool.py,0.848,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_202,run_startup_checks,Auto-migrated task from legacy v1 to v4,smartswasthya.py,smartswasthya/scripts/manual_startup_trigger.py,0.86,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_203,save_file,Auto-migrated task from legacy v1 to v4,engine.py,smartswasthya/services/user_profile_service.py,0.9,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_204,save_file,Auto-migrated task from legacy v1 to v4,routes/dev/editor_routes.py,smartswasthya/services/user_profile_service.py,0.9,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_205,save_profile,Auto-migrated task from legacy v1 to v4,services/user_profile_service.py,smartswasthya/services/user_profile_service.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_206,save_safe,Auto-migrated task from legacy v1 to v4,handler.py,smartswasthya/handler.py,1,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_207,save_security,Auto-migrated task from legacy v1 to v4,services/account_security_service.py,,0.745,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_208,save_to_original,Auto-migrated task from legacy v1 to v4,coder.py,,0.433,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_209,save_to_original,Auto-migrated task from legacy v1 to v4,coder.py,,0.433,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_210,save_to_original,Auto-migrated task from legacy v1 to v4,routes/dev/editor_routes.py,,0.7,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_211,scan_all,Auto-migrated task from legacy v1 to v4,engine.py,,0.692,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_212,scan_file_health,Auto-migrated task from legacy v1 to v4,engine.py,smartswasthya/logic/scan_logic.py,0.794,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_213,scan_files,Auto-migrated task from legacy v1 to v4,routes/dev/sync_routes.py,smartswasthya/logic/sync_retry_logic.py,0.844,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_214,scan_flow_file,Auto-migrated task from legacy v1 to v4,flow_checker.py,smartswasthya/console_refactor/console_routes.py,0.767,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_215,scan_updated_files,Auto-migrated task from legacy v1 to v4,routes/dev/sync/scan.py,smartswasthya/tools/patch_reversal_engine.py,0.806,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_216,schedule_appointment,Auto-migrated task from legacy v1 to v4,services/appointment_service.py,,0.65,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_217,send_email_otp,Auto-migrated task from legacy v1 to v4,routes/profile_routes.py,smartswasthya/routes/email_otp.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_218,send_forgot_otp,Auto-migrated task from legacy v1 to v4,utils/fast2sms_otp_handler.py,smartswasthya/utils/fast2sms_otp_handler.py,1,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_219,send_forgot_password_otp,Auto-migrated task from legacy v1 to v4,routes/login_routes.py,smartswasthya/utils/fast2sms_otp_handler.py,0.838,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_220,send_otp,Auto-migrated task from legacy v1 to v4,email_verification.py,smartswasthya/utils/fast2sms_otp_handler.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_221,send_otp,Auto-migrated task from legacy v1 to v4,utils/fast2sms_otp_handler.py,smartswasthya/utils/fast2sms_otp_handler.py,1,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_222,send_verification_email,Auto-migrated task from legacy v1 to v4,utils/email_utils.py,smartswasthya/utils/email_utils.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_223,serve,Auto-migrated task from legacy v1 to v4,importer.py,,0.65,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_224,set_password,Auto-migrated task from legacy v1 to v4,routes/login_routes.py,smartswasthya/logic/auth.py,0.831,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_225,should_skip_path,Auto-migrated task from legacy v1 to v4,routes/dev/sync/scan.py,smartswasthya/console_refactor/console_utils.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_226,show_api_page,Auto-migrated task from legacy v1 to v4,routes/dev/api_routes.py,,0.445,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_227,show_base_page,Auto-migrated task from legacy v1 to v4,routes/dev/base_routes.py,,0.43,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_228,show_duplicates,Auto-migrated task from legacy v1 to v4,routes/dev/routes_routes.py,,0.728,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_229,show_editor_page,Auto-migrated task from legacy v1 to v4,routes/dev/editor_routes.py,,0.363,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_230,show_token_page,Auto-migrated task from legacy v1 to v4,routes/dev/token_routes.py,,0.377,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_231,signup_page,Auto-migrated task from legacy v1 to v4,routes/signup_routes.py,,0.682,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_232,staff_attendance_popup,Auto-migrated task from legacy v1 to v4,popups.py,,0.6,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_233,start_voice_trigger,Auto-migrated task from legacy v1 to v4,coder.py,,0.731,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_234,sync_files,Auto-migrated task from legacy v1 to v4,routes/dev/sync_routes.py,smartswasthya/logic/sync_retry_logic.py,0.844,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_235,sync_files_to_server,Auto-migrated task from legacy v1 to v4,routes/dev/sync/sync.py,,0.742,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_236,sync_output_to_docs,Auto-migrated task from legacy v1 to v4,coder.py,,0.641,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_237,sync_ui_page,Auto-migrated task from legacy v1 to v4,auto_routes.py,,0.7,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_238,test_appointments_empty,Auto-migrated task from legacy v1 to v4,tests/smoke_tests.py,,0.642,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_239,test_orders_empty,Auto-migrated task from legacy v1 to v4,tests/smoke_tests.py,,0.682,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_240,test_profile_not_found,Auto-migrated task from legacy v1 to v4,tests/smoke_tests.py,,0.724,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_241,test_records_empty,Auto-migrated task from legacy v1 to v4,tests/smoke_tests.py,,0.682,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_242,test_service,Auto-migrated task from legacy v1 to v4,routes/dev/api_routes.py,,0.405,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_243,test_sync_endpoint,Auto-migrated task from legacy v1 to v4,tests/smoke_tests.py,,0.671,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_244,too_large,Auto-migrated task from legacy v1 to v4,smartswasthya.py,,0.65,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_245,track_location,Auto-migrated task from legacy v1 to v4,routes/core_routes.py,smartswasthya/odil/generate_logic_trace.py,0.754,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_246,trigger_generate_assist,Auto-migrated task from legacy v1 to v4,routes/dev/routes_routes.py,smartswasthya/handler.py,0.853,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_247,trigger_reload,Auto-migrated task from legacy v1 to v4,handler.py,smartswasthya/handler.py,1,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_248,undo_file,Auto-migrated task from legacy v1 to v4,routes/dev/editor_routes.py,,0.745,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_249,update_online_data,Auto-migrated task from legacy v1 to v4,moderator.py,,0.734,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_250,update_profile,Auto-migrated task from legacy v1 to v4,routes/core_routes.py,smartswasthya/services/user_profile_service.py,0.838,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_251,update_profile,Auto-migrated task from legacy v1 to v4,routes/profile_routes.py,smartswasthya/services/user_profile_service.py,0.838,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_252,update_profile,Auto-migrated task from legacy v1 to v4,routes/user_profile_routes.py,smartswasthya/services/user_profile_service.py,0.838,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_253,update_security,Auto-migrated task from legacy v1 to v4,routes/account_security_routes.py,,0.731,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_254,update_status,Auto-migrated task from legacy v1 to v4,family.py,smartswasthya/handler.py,0.883,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_255,update_tags,Auto-migrated task from legacy v1 to v4,handler.py,smartswasthya/handler.py,1,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_256,upgrade,Auto-migrated task from legacy v1 to v4,fix_migration.py,smartswasthya/alembic_migrations/versions/19a8c06a027f_add_priority_and_section_to_dev_tasks.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_257,upgrade,Auto-migrated task from legacy v1 to v4,migrations/versions/02737fd099f6_merge_accuracy_patch_with_otp_branch.py,smartswasthya/alembic_migrations/versions/19a8c06a027f_add_priority_and_section_to_dev_tasks.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_258,upgrade,Auto-migrated task from legacy v1 to v4,migrations/versions/14e83e9ba3ab_add_user_profile_extra_fields.py,smartswasthya/alembic_migrations/versions/19a8c06a027f_add_priority_and_section_to_dev_tasks.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_259,upgrade,Auto-migrated task from legacy v1 to v4,migrations/versions/20250516_add_accuracy_to_user_profile.py,smartswasthya/alembic_migrations/versions/19a8c06a027f_add_priority_and_section_to_dev_tasks.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_260,upgrade,Auto-migrated task from legacy v1 to v4,migrations/versions/22a1af3a3ea5_add_fallback_address_fields_to_user_.py,smartswasthya/alembic_migrations/versions/19a8c06a027f_add_priority_and_section_to_dev_tasks.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_261,upgrade,Auto-migrated task from legacy v1 to v4,migrations/versions/25660115094b_auto_add_new_core_module_tables.py,smartswasthya/alembic_migrations/versions/19a8c06a027f_add_priority_and_section_to_dev_tasks.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_262,upgrade,Auto-migrated task from legacy v1 to v4,migrations/versions/2e5fe6e6cbca_add_email_otp_column_to_users.py,smartswasthya/alembic_migrations/versions/19a8c06a027f_add_priority_and_section_to_dev_tasks.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_263,upgrade,Auto-migrated task from legacy v1 to v4,migrations/versions/3c0bb4bc4152_add_is_email_verified_column.py,smartswasthya/alembic_migrations/versions/19a8c06a027f_add_priority_and_section_to_dev_tasks.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_264,upgrade,Auto-migrated task from legacy v1 to v4,migrations/versions/58cb3b3e0749_add_health_goals_to_users.py,smartswasthya/alembic_migrations/versions/19a8c06a027f_add_priority_and_section_to_dev_tasks.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_265,upgrade,Auto-migrated task from legacy v1 to v4,migrations/versions/74a380d5c3c7_add_signup_source_and_is_verified_to_.py,smartswasthya/alembic_migrations/versions/19a8c06a027f_add_priority_and_section_to_dev_tasks.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_266,upgrade,Auto-migrated task from legacy v1 to v4,migrations/versions/a8300d3f2e2e_register_master_tables.py,smartswasthya/alembic_migrations/versions/19a8c06a027f_add_priority_and_section_to_dev_tasks.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_267,upgrade,Auto-migrated task from legacy v1 to v4,migrations/versions/a9666f2fff23_merge_multiple_heads.py,smartswasthya/alembic_migrations/versions/19a8c06a027f_add_priority_and_section_to_dev_tasks.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_268,upgrade,Auto-migrated task from legacy v1 to v4,migrations/versions/d2e3f4a5b6c7_create_appointments_and_family_tables.py,smartswasthya/alembic_migrations/versions/19a8c06a027f_add_priority_and_section_to_dev_tasks.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_269,upload,Auto-migrated task from legacy v1 to v4,flow_checker.py,,0.731,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_270,upload,Auto-migrated task from legacy v1 to v4,smart_flow_tester.py,,0.731,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_271,validate_code_diff,Auto-migrated task from legacy v1 to v4,engine.py,,0.65,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_272,validate_token,Auto-migrated task from legacy v1 to v4,utils/token_utils.py,,0.441,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_273,verify,Auto-migrated task from legacy v1 to v4,partner.py,smartswasthya/utils/fast2sms_otp_handler.py,0.825,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_274,verify_and_register,Auto-migrated task from legacy v1 to v4,routes/signup_routes.py,,0.738,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_275,verify_email_otp,Auto-migrated task from legacy v1 to v4,routes/profile_routes.py,smartswasthya/routes/email_otp.py,1,done,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_276,verify_otp,Auto-migrated task from legacy v1 to v4,utils/fast2sms_otp_handler.py,smartswasthya/utils/fast2sms_otp_handler.py,1,done,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_277,verify_token_post,Auto-migrated task from legacy v1 to v4,routes/dev/token_routes.py,smartswasthya/utils/fast2sms_otp_handler.py,0.767,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_278,verify_token_query,Auto-migrated task from legacy v1 to v4,routes/dev/token_routes.py,,0.7,partial,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_279,view_file,Auto-migrated task from legacy v1 to v4,engine.py,smartswasthya/services/user_profile_service.py,0.767,done,high,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_280,view_table,Auto-migrated task from legacy v1 to v4,routes/dev/database_routes.py,,0.388,partial,medium,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_281,wrapper,Auto-migrated task from legacy v1 to v4,routes/dev_routes.py,,0.65,partial,low,unassigned,Seeded via scan mapping,ðŸ§© Dev Bucket Engine
TASK_282,extract_template_files,Auto-migrated task from legacy v1 to v4,importer.py,smartswasthya/utils/file_scanner.py,0.853,done,high,unassigned,Seeded via scan mapping,ðŸ§± UI - Templates
TASK_283,get_all_template_routes,Auto-migrated task from legacy v1 to v4,importer.py,smartswasthya/utils/file_scanner.py,0.878,done,high,unassigned,Seeded via scan mapping,ðŸ§± UI - Templates
